Name,Comment,tone
Lakshmi Shankar,If middle men were not looting the farmers then why did rahul gandhi want to take middle men out,"{'document_tone': {'tones': [{'score': 0.599421, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
Himadri Das Bharali,These all farmers  are big bloody fools.They dont have any right to destroy the governments property and beat the plolice. Now 300 no of police has been injured by these fools (devil&#39;s). Even they are misbehaving with our national flag. When i saw this on news it made me aggressive. Every Indian should love and respect the national flag. This is humble request to the  central government  that to take serious action on them.,"{'document_tone': {'tones': [{'score': 0.51485, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.570962, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'These all farmers  are big bloody fools.They dont have any right to destroy the governments property and beat the plolice.', 'tones': [{'score': 0.549635, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'Now 300 no of police has been injured by these fools (devil&#39;s).', 'tones': [{'score': 0.624541, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 2, 'text': 'Even they are misbehaving with our national flag.', 'tones': [{'score': 0.88939, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 3, 'text': 'When i saw this on news it made me aggressive.', 'tones': []}, {'sentence_id': 4, 'text': 'Every Indian should love and respect the national flag.', 'tones': [{'score': 0.634412, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.874372, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 5, 'text': 'This is humble request to the  central government  that to take serious action on them.', 'tones': []}]}"
Theeraphat Sunthornwit,I sleep with....no... i mean i stand with farmers.,"{'document_tone': {'tones': [{'score': 0.505983, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
Munkashif,Last smile of yous is killing me 🔥,"{'document_tone': {'tones': [{'score': 0.698283, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
CUCHULAINN,Yogendra Yadav top farmer and middle man  of the year 2021 without owning a farm and getting  money from China,"{'document_tone': {'tones': [{'score': 0.558934, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
Alorjyoti Chattaraj,WB not support the rule,"{'document_tone': {'tones': [{'score': 0.778147, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Papali Ck,For farmers their produce is the only source they can survive. .and the farmers should be left alone to do their work. .Why does the GOVT succumbing to the BIG PVT PLAYERS TO TRESPASS and create problems for farmers? The govt can make provisions against for big farmers exploiting small farmers. But bringing outside GIANT players will eat up both small and big farmers MORE SO because the Govt and Govt bodies will DANCE TO THE TUNES of the GIANT PVT PLAYERS. &amp; the farmer community will disappear or stop existing.<br>The Govt broke the back bone of the common man by introducing DEMONETISATION  jeopardising jobs and small businesses ALL OVER THE COUNTRY.<br><br>NOW the Govt is trying to break the Farmers and ultimately THIS GOVT will force the entire nation to SLAVERY. ..to be at the MERCY of MODI...DEMOCRACY will go to the DUST BIN.<br>INDIA will then change from the LARGEST DEMOCRACY IN THE WORLD TO THE LARGEST SLAVERY NATION OF THE WORLD,"{'document_tone': {'tones': [{'score': 0.518251, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.712281, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'For farmers their produce is the only source they can survive.', 'tones': [{'score': 0.788547, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': '.and the farmers should be left alone to do their work.', 'tones': [{'score': 0.534368, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 2, 'text': '.Why does the GOVT succumbing to the BIG PVT PLAYERS TO TRESPASS and create problems for farmers?', 'tones': [{'score': 0.84796, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 3, 'text': 'The govt can make provisions against for big farmers exploiting small farmers.', 'tones': [{'score': 0.690475, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 4, 'text': 'But bringing outside GIANT players will eat up both small and big farmers MORE SO because the Govt and Govt bodies will DANCE TO THE TUNES of the GIANT PVT PLAYERS.', 'tones': [{'score': 0.701757, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 5, 'text': '&amp; the farmer community will disappear or stop existing.<br>The', 'tones': [{'score': 0.592795, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.786991, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 6, 'text': 'Govt broke the back bone of the common man by introducing DEMONETISATION  jeopardising jobs and small businesses ALL OVER THE COUNTRY.<br><br>NOW the Govt is trying to break the Farmers and ultimately THIS GOVT will force the entire nation to SLAVERY.', 'tones': [{'score': 0.768354, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 7, 'text': '..to be at the MERCY of MODI...DEMOCRACY will go to the DUST BIN.<br>INDIA will then change from the LARGEST DEMOCRACY IN THE WORLD TO THE LARGEST SLAVERY NATION OF THE WORLD', 'tones': [{'score': 0.629304, 'tone_id': 'joy', 'tone_name': 'Joy'}]}]}"
Vinod P,They are imaginening that in future MSP will stop because of direct selling to corporates. I imagine that in future robots are farmers.,"{'document_tone': {'tones': [{'score': 0.988064, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'They are imaginening that in future MSP will stop because of direct selling to corporates.', 'tones': [{'score': 0.961593, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'I imagine that in future robots are farmers.', 'tones': [{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]}"
khan salman,"1. Bill is good for present but the protest is for the future.<br>2. If government passing this bill for helping the farmers then why government isn&#39;t listening them?<br>3. Farmers don&#39;t want it, so if government is thinking about farmers then they shouldn&#39;t make such ammendment, because farmers don&#39;t want them.<br>If farmers think this bill is not good for their future, so drop it because you are passing it for the vantage of farmers.<br>In short if farmers think this is not good, so it isn&#39;t because, I think everyone has the right to choose what good for them and what not.<br>I support farmers...","{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': '1. Bill is good for present but the protest is for the future.<br>2.', 'tones': [{'score': 0.763437, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 1, 'text': 'If government passing this bill for helping the farmers then why government isn&#39;t listening them?<br>3.', 'tones': []}, {'sentence_id': 2, 'text': 'Farmers don&#39;t want it, so if government is thinking about farmers then they shouldn&#39;t make such ammendment, because farmers don&#39;t want them.<br>If', 'tones': []}, {'sentence_id': 3, 'text': 'farmers think this bill is not good for their future, so drop it because you are passing it for the vantage of farmers.<br>In', 'tones': []}, {'sentence_id': 4, 'text': 'short if farmers think this is not good, so it isn&#39;t because, I think everyone has the right to choose what good for them and what not.<br>I support farmers...', 'tones': [{'score': 0.522913, 'tone_id': 'joy', 'tone_name': 'Joy'}]}]}"
Madhusudhana Naidu,Yes all other videos are misleading the news.,"{'document_tone': {'tones': [{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.898327, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
Yash Vardhan Singh,Power should be in the hands of farmers<br>Jai Jawan Jai Kisan,"{'document_tone': {'tones': [{'score': 0.538944, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Nock out,After all it&#39;s the government to decide about the laws it&#39;s our duty to support the farmers as of farmers are the backbone of a nation Stand for them and support until the results are out,"{'document_tone': {'tones': [{'score': 0.821913, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
Vishal Goel,Kisan nhi gunde h ye,{'document_tone': {'tones': []}}
Vishal Goel,"Kisaan=Anndaata, Ambani=Mobiledaata, RBI=Paiso ka Daata😅😂🤣",{'document_tone': {'tones': []}}
Vishal Goel,Canada sponsored farmers,"{'document_tone': {'tones': [{'score': 0.552018, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
,,{'document_tone': {'tones': []}}
abhya mudra,Here a student standing with farmer,{'document_tone': {'tones': []}}
,,{'document_tone': {'tones': []}}
Pragna N,This bill is actually good adn will help farmers a lot. only these madivalas are angry because they wont get money from exploiting the farmers...,"{'document_tone': {'tones': [{'score': 0.580401, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.780034, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'This bill is actually good adn will help farmers a lot.', 'tones': [{'score': 0.800025, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.579436, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': 'only these madivalas are angry because they wont get money from exploiting the farmers...', 'tones': [{'score': 0.89773, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.711887, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]}"
Gurpreet Singh,Badal party steal everything from panjab they support RSS not panjab,"{'document_tone': {'tones': [{'score': 0.541945, 'tone_id': 'anger', 'tone_name': 'Anger'}]}}"
Sacred - Chan,If farmers are opposing it then what&#39;s the problem of taking back the bill? They don&#39;t want this &#39;gift&#39; please take it back.,"{'document_tone': {'tones': [{'score': 0.646492, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.90155, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'If farmers are opposing it then what&#39;s the problem of taking back the bill?', 'tones': [{'score': 0.655113, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.899126, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'They don&#39;t want this &#39;gift&#39; please take it back.', 'tones': []}]}"
,,{'document_tone': {'tones': []}}
pooja periwal,The government should debate with farmers on this bill before turning it in a act,{'document_tone': {'tones': []}}
,,{'document_tone': {'tones': []}}
,,{'document_tone': {'tones': []}}
RAJESH KUMAR BEHERA,"Government is desh ko Bhejhna cahtahe. Kite din tak Ambani, Adani, Mital ki faide k lia kaam karoge. Sale marwadi haramjade. Desh ko privatisation karke young generation ko unemployment karna cahte ho. Aaj Kishan bhi Road pe aa gaye. A din bhi dekhna tha.","{'document_tone': {'tones': [{'score': 0.509865, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Government is desh ko Bhejhna cahtahe.', 'tones': []}, {'sentence_id': 1, 'text': 'Kite din tak Ambani, Adani, Mital ki faide k lia kaam karoge.', 'tones': []}, {'sentence_id': 2, 'text': 'Sale marwadi haramjade.', 'tones': []}, {'sentence_id': 3, 'text': 'Desh ko privatisation karke young generation ko unemployment karna cahte ho.', 'tones': [{'score': 0.602683, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 4, 'text': 'Aaj Kishan bhi Road pe aa gaye.', 'tones': []}, {'sentence_id': 5, 'text': 'A din bhi dekhna tha.', 'tones': []}]}"
Niuto Chophi,"The state government should stop the tax from farmers, it is good that the farmers can  trade their goods anywhere, I think the middle man traders need to be stop, while the farmers are working so hard to make every penny and the middle man are taking 10% to 20% of their hard working money of farmers earning, we need to look forward to build a digital farming policy, it would be hard for now but it will give a great opportunity in the future",{'document_tone': {'tones': []}}
Revathy sreekumar,Jai jawan jai KISAAN..... Jai Modiji 😂😂😂,{'document_tone': {'tones': []}}
Sagar Patel,Govt: I will pass bills for the farmers for a free economy. <br>Farmers: Nah Bro. I want middlemen to set my price. Oh and also I want the state govt to take some of the profit.,"{'document_tone': {'tones': [{'score': 0.728672, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.742727, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Govt: I will pass bills for the farmers for a free economy.', 'tones': [{'score': 0.79184, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': '<br>Farmers: Nah Bro.', 'tones': [{'score': 0.710736, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 2, 'text': 'I want middlemen to set my price.', 'tones': []}, {'sentence_id': 3, 'text': 'Oh and also I want the state govt to take some of the profit.', 'tones': [{'score': 0.577529, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.681699, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]}"
Pramod,"I heard a very interesting analogy today,<br>A 10 floor building did not have a lift, so people had problem climbing up and down. Specially the elderly and the kids, so the society started exploring options.<br>Finally they got some donkeys, who could carry people up and down. The donkey owners would charge people for carrying them up and down for a fee and would also pay 10% to the society from the revenue they earned. It was a very happy situation for all involved.<br>After sometime the society management changed, the new management decided to install a lift for carrying people up and down.<br>All hell broke loose and everyone started protesting, this is not fair, society will loose revenue, the donkey owners will be jobless and no food for them (human rights issue), the donkeys will be worthless (animals rights issue), all were angry.<br>Society management clarified, the lift is available to all but the gentlemen who wanted to use the donkeys could still do it. But no, the agitation continued and so finally the new management had to succumb to the pressure.<br>The final arrangement was arrived and so anyone who wanted to climb the building could still use the donkey. The donkey would carry a person, go in the lift and carry people up &amp; down. All were happy.<br>Disclaimer: any resemblance of this with the farmers agitation is a coincidence.","{'document_tone': {'tones': [{'score': 0.515002, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.623099, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'I heard a very interesting analogy today,<br>A 10 floor building did not have a lift, so people had problem climbing up and down.', 'tones': [{'score': 0.516104, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.525926, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': 'Specially the elderly and the kids, so the society started exploring options.<br>Finally', 'tones': [{'score': 0.53071, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 2, 'text': 'they got some donkeys, who could carry people up and down.', 'tones': [{'score': 0.502077, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.957828, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 3, 'text': 'The donkey owners would charge people for carrying them up and down for a fee and would also pay 10% to the society from the revenue they earned.', 'tones': []}, {'sentence_id': 4, 'text': 'It was a very happy situation for all involved.<br>After', 'tones': [{'score': 0.816279, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.952441, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 5, 'text': 'sometime the society management changed, the new management decided to install a lift for carrying people up and down.<br>All', 'tones': [{'score': 0.66832, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.598602, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 6, 'text': 'hell broke loose and everyone started protesting, this is not fair, society will loose revenue, the donkey owners will be jobless and no food for them (human rights issue), the donkeys will be worthless (animals rights issue), all were angry.<br>Society', 'tones': [{'score': 0.846681, 'tone_id': 'anger', 'tone_name': 'Anger'}]}, {'sentence_id': 7, 'text': 'management clarified, the lift is available to all but the gentlemen who wanted to use the donkeys could still do it.', 'tones': []}, {'sentence_id': 8, 'text': 'But no, the agitation continued and so finally the new management had to succumb to the pressure.<br>The', 'tones': [{'score': 0.784214, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.543112, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 9, 'text': 'final arrangement was arrived and so anyone who wanted to climb the building could still use the donkey.', 'tones': [{'score': 0.856622, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 10, 'text': 'The donkey would carry a person, go in the lift and carry people up &amp; down.', 'tones': []}, {'sentence_id': 11, 'text': 'All were happy.<br>Disclaimer:', 'tones': [{'score': 0.683352, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.961633, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 12, 'text': 'any resemblance of this with the farmers agitation is a coincidence.', 'tones': [{'score': 0.786991, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]}"
SADU GAMES,Those who understood the new bill👍. A small like please.,"{'document_tone': {'tones': [{'score': 0.513347, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.902459, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.857009, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Those who understood the new bill👍.', 'tones': [{'score': 0.538065, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'A small like please.', 'tones': [{'score': 0.88939, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]}"
Tridib Saikia,"I think these laws are very important for the country.  Middlemen must go. They are reaping the benefits of MSP, not the smal  and marginal farmers.","{'document_tone': {'tones': [{'score': 0.901164, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'I think these laws are very important for the country.', 'tones': [{'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.849827, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': 'Middlemen must go.', 'tones': [{'score': 0.942582, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 2, 'text': 'They are reaping the benefits of MSP, not the smal  and marginal farmers.', 'tones': [{'score': 0.503982, 'tone_id': 'joy', 'tone_name': 'Joy'}]}]}"
nikki ajitha,Without MSP how can farmers believe the contract. I think government wants to remove itself from the agriculture domain. Introducing MSP  and essential products list is not going to hurt anyone. Why is the government hesitating??,"{'document_tone': {'tones': [{'score': 0.575617, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.949449, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.583107, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Without MSP how can farmers believe the contract.', 'tones': [{'score': 0.88939, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 1, 'text': 'I think government wants to remove itself from the agriculture domain.', 'tones': [{'score': 0.653099, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 2, 'text': 'Introducing MSP  and essential products list is not going to hurt anyone.', 'tones': [{'score': 0.574928, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 3, 'text': 'Why is the government hesitating??', 'tones': [{'score': 0.968123, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]}"
Jeyalakshmi Rajkumar,I stand  with farmers <br>As far as I understood  the bill is for companies  &amp; not for farmers,"{'document_tone': {'tones': [{'score': 0.743104, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
shanu Goyal,i proud to be punjabi and i stands with farmers,"{'document_tone': {'tones': [{'score': 0.861299, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
,,{'document_tone': {'tones': []}}
,,{'document_tone': {'tones': []}}
,,{'document_tone': {'tones': []}}
Rupjyoti Das,New farm bill ak par par le......modi mahan hai,{'document_tone': {'tones': []}}
