id,message,tone
12,i read several farmers' bodies and prayed inside no not any more suicides.. this has become a norm in agri based india tht farmers commit suicide..,"{'document_tone': {'tones': [{'score': 0.813648, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
13,No farmers body. all are congress paid bodies.,"{'document_tone': {'tones': [{'score': 0.986725, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'No farmers body.', 'tones': []}, {'sentence_id': 1, 'text': 'all are congress paid bodies.', 'tones': [{'score': 0.961633, 'tone_id': 'confident', 'tone_name': 'Confident'}]}]}"
14,we support our nation and it's farmers...,"{'document_tone': {'tones': [{'score': 0.519949, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
17,Thanks for showing light from the candle...,"{'document_tone': {'tones': [{'score': 0.684771, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
18,Farmers are the backbones of our India truly in support with full of heart  with the farmers of India#FARMERS PROTEST,"{'document_tone': {'tones': [{'score': 0.598602, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
19,"Government is targeting different communities, first Muslims and now Sikh community ",{'document_tone': {'tones': []}}
20,Congress and left wing misguiding our farmers. ,"{'document_tone': {'tones': [{'score': 0.742485, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
21,Who cares for these paid Pidis and dramebazis. Just aiming to find next Pidi to make it to paid TIME magazine ,"{'document_tone': {'tones': [{'score': 0.573521, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.893364, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Who cares for these paid Pidis and dramebazis.', 'tones': []}, {'sentence_id': 1, 'text': 'Just aiming to find next Pidi to make it to paid TIME magazine', 'tones': [{'score': 0.589295, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.716301, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]}"
22,Where is so called #superpowerindia2020 ??. The fact is India is the most poor country in South Asia. Your farmers are doing sucides and Labour migrants are dying on the roads due to hunger,"{'document_tone': {'tones': [{'score': 0.740417, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.780427, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.718218, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Where is so called #superpowerindia2020 ??.', 'tones': []}, {'sentence_id': 1, 'text': 'The fact is India is the most poor country in South Asia.', 'tones': [{'score': 0.661127, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.543112, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 2, 'text': 'Your farmers are doing sucides and Labour migrants are dying on the roads due to hunger', 'tones': [{'score': 0.760494, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]}"
23,UP or Bihar Ke kisan aaj inkinTarah Padhe likhe Hote toh Aaj Sarkon Pe utar jate.. lekin wo toh bewakoof hai,{'document_tone': {'tones': []}}
24,Ye bill choro yarro phle double income ki baat kro....... Kya pura hua?????? Then is bill pe baat krenge,{'document_tone': {'tones': []}}
25,Yes we all indians stand with farmers Modi BJP party is destroying our beautiful India,"{'document_tone': {'tones': [{'score': 0.613488, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.727798, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
26,Now this is what I call real news! Well done NDTV!,"{'document_tone': {'tones': [{'score': 0.922197, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Now this is what I call real news!', 'tones': [{'score': 0.513743, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.704642, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': 'Well done NDTV!', 'tones': [{'score': 0.681034, 'tone_id': 'joy', 'tone_name': 'Joy'}]}]}"
28,and sonia gandhi should entertain these protesters with bar dance .. definitely many will attend and will become success too,"{'document_tone': {'tones': [{'score': 0.815143, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.638987, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
29,"This Covid has already done enough damage, no need for Bharat Bandh.","{'document_tone': {'tones': [{'score': 0.540112, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
30,All Indians should support.,"{'document_tone': {'tones': [{'score': 0.568573, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.97759, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
31,"Mr Ndtv , what’s wrong with the bill ?",{'document_tone': {'tones': []}}
32,As usual falsehood from NDTV,"{'document_tone': {'tones': [{'score': 0.822231, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
33,"????? ?? ????? ????? ?? ???? ???-??? ?? ??? ???? ????? ???? ??????? ??????? ?? ???????? ?? ????? ??? ???? ????? ???? ??? ! ????? ?? ?? ????????? ?? ??????? ?? ??? ?? ????? ?? ???? ?????? ??, ???? ?? ?? ??? ????? ??????? ???? ?? ! #I_StandWithFarmers","{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': '????? ?? ????? ????? ?? ???? ???-??? ?? ??? ???? ????? ???? ??????? ??????? ?? ???????? ?? ????? ??? ???? ????? ???? ??? !', 'tones': []}, {'sentence_id': 1, 'text': '????? ?? ?? ????????? ?? ??????? ?? ??? ?? ????? ?? ???? ?????? ??, ???? ?? ?? ??? ????? ??????? ???? ?? !', 'tones': []}, {'sentence_id': 2, 'text': '#I_StandWithFarmers', 'tones': []}]}"
34,"These are rich farmers,,see the style of protest","{'document_tone': {'tones': [{'score': 0.512757, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
35,Only sardar ji in trouble. They generally do business as middlemen. Majority of them are also involved in transport business.,"{'document_tone': {'tones': [{'score': 0.596122, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.71572, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Only sardar ji in trouble.', 'tones': [{'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'They generally do business as middlemen.', 'tones': [{'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.75152, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': 'Majority of them are also involved in transport business.', 'tones': []}]}"
36,70 ??? ??? ???? ??? ??? ?? ??? ?? ?? ????? ???? ??? ???? ?????  ?? ????? ???????? ???? ??? ???? ?? ????? ??,{'document_tone': {'tones': []}}
37,Dekho  khongreissyo  ne kya  funding  ki hai   aandolan  k liye,{'document_tone': {'tones': []}}
38,#godi media ko to deepika  ke piche hi busy h ,{'document_tone': {'tones': []}}
39,Farmers bodies read Middle men ..f..k them,{'document_tone': {'tones': []}}
40,#ScrapAntiFarmerActs,{'document_tone': {'tones': []}}
41,,{'document_tone': {'tones': []}}
42,Adani ka chowkidar,{'document_tone': {'tones': []}}
43,Jab farmer hi nahega to kaya khayoge,"{'document_tone': {'tones': [{'score': 0.582078, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
44,?? 56 ??? ?? ???? ????? ????? ?? ??? ???? ??? ???? ?? ????,{'document_tone': {'tones': []}}
45,"Punjabs last resort will be to suspend the grains supply to whole of India, unti and unless the draconian law isnt withdrawn. It will surely impact the financial aspect of farmers.  psycholgy of Punjabis are well known to everybody. Some would call us anti-nationals but trust me  they are not in mood to step back. Punjab Punjabiyat zindabad !","{'document_tone': {'tones': [{'score': 0.61007, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.50736, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Punjabs last resort will be to suspend the grains supply to whole of India, unti and unless the draconian law isnt withdrawn.', 'tones': [{'score': 0.655535, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'It will surely impact the financial aspect of farmers.', 'tones': [{'score': 0.516976, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.874372, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 2, 'text': 'psycholgy of Punjabis are well known to everybody.', 'tones': [{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 3, 'text': 'Some would call us anti-nationals but trust me  they are not in mood to step back.', 'tones': [{'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 4, 'text': 'Punjab Punjabiyat zindabad !', 'tones': []}]}"
46,"The problems with Modi government’s anti-farmers laws explained:  1. First law: *Legalized Hoarding*. Now Big Fish/Crony capitalists can hoard as much as they can/want. Govt can step in only during War or Calamity. Items like Onions and Tomatoes are no more ‘essential commodities’.  So big corporate hoarders will create artificial gluts to buy cheaply from the farmers. And then create artificial scarcity to sell dearly to the end-consumers. So basically a lose-lose situation for both farmers and consumers, and a win-win situation for the crony capitalists.   2. Second Law: *Farmer can sell any where to any one with PAN Card* So basically the entire Agricultural Infrastructure and Mandis of Punjab, Haryana and Western UP go for a six!  It’s only due to the Transaction fee/cess on sale of crops, that roads get built in rural Punjab by the Mandi Board. Without this, the state governments have no other source of income to build rural roads.  Ahrtias provide year-around, collateral-free credit to the farmers. With these anti-farmer laws, the Ahrtias will soon vanish and so will this easy credit system for the farmer.  Only 4% of Indian Farmers get MSP (and assured government procurement). Other 96% dont get it. That's why UP & Bihar farmers do labour in Punjab and Haryana. Now Modi government wants the farmers of Punjab and Haryana also to become migrants labourers.  GOI does procurement of only 2 items on MSP (wheat and rice). Though it issues MSP list for 20 odd items. Slowly GOI, will announce MSP, but will no longer be duty bound to procure wheat and rice. So Govt Godowns, Silos and FCI would also go for a six.  The most nonsensical clause is that the farmer can sell their crop anywhere. So a Punjabi farmer will hire cargo aircrafts and take his wheat and rice to Tamilnadu/Gujarat??? Obviously not! This clause is only for the benefit of big corporates, who will manipulate the markets/prices and sell wherever they would want.  3. The next ordinance: *Contract Farming* Big Sharks/corporates will take land on contract (which will only safeguard the interests and profit motive of big corporates). The farmer will become Mazdoor on his own land. Produce will be packaged attractively and will be sold at high prizes. All humans who depend on farm produce will be the suckers. The rural economy of the country will totally collapse.  Remember how Jio internet was free for 1 year? When you got hooked, it was Rs 199 and now Rs 350. Zor ka jhatka dheere se lage! The same will happen to farmers.  USA has mere 2% farmers and Europe has just 1%. On the other hand India has 76%! Corporates require labour. From where can they get that much labour?  From ‘defarming’ that 76% to more manageable percentage. So Modi ji is doing the needful!  These Ordinances were brought in on June 05 2020 under Article 123 of Indian Constitution. Which says emergency legislation can be passed as Ordinance when Parliament is not in session. Can some wise guy tell what was the emergency during Covid period??? And that too when lndia’s GDP has fallen by -30%!  But the Indian voters have been kept distracted by Rhea, Kangana and now Deepika! Modi ko to bass apne political financiers (Ambanis aur Adani) ko khush karna hai, desh ka kissan jaye bhad mei’n!  #AntiFarmerLaws","{'document_tone': {'tones': [{'score': 0.582878, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'The problems with Modi government’s anti-farmers laws explained:  1.', 'tones': [{'score': 0.540225, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.901894, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'First law: *Legalized Hoarding*.', 'tones': [{'score': 0.898327, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 2, 'text': 'Now Big Fish/Crony capitalists can hoard as much as they can/want.', 'tones': []}, {'sentence_id': 3, 'text': 'Govt can step in only during War or Calamity.', 'tones': [{'score': 0.748546, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.564476, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.856622, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 4, 'text': 'Items like Onions and Tomatoes are no more ‘essential commodities’.', 'tones': [{'score': 0.752368, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 5, 'text': 'So big corporate hoarders will create artificial gluts to buy cheaply from the farmers.', 'tones': []}, {'sentence_id': 6, 'text': 'And then create artificial scarcity to sell dearly to the end-consumers.', 'tones': [{'score': 0.8152, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 7, 'text': 'So basically a lose-lose situation for both farmers and consumers, and a win-win situation for the crony capitalists.', 'tones': [{'score': 0.74456, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 8, 'text': '2. Second Law: *Farmer can sell any where to any one with PAN Card* So basically the entire Agricultural Infrastructure and Mandis of Punjab, Haryana and Western UP go for a six!  It’s only due to the Transaction fee/cess on sale of crops, that roads get built in rural Punjab by the Mandi Board.', 'tones': [{'score': 0.530002, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 9, 'text': 'Without this, the state governments have no other source of income to build rural roads.', 'tones': []}, {'sentence_id': 10, 'text': 'Ahrtias provide year-around, collateral-free credit to the farmers.', 'tones': []}, {'sentence_id': 11, 'text': 'With these anti-farmer laws, the Ahrtias will soon vanish and so will this easy credit system for the farmer.', 'tones': [{'score': 0.515425, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 12, 'text': 'Only 4% of Indian Farmers get MSP (and assured government procurement).', 'tones': [{'score': 0.637914, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.825035, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 13, 'text': 'Other 96% dont get it.', 'tones': [{'score': 0.965509, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 14, 'text': ""That's why UP & Bihar farmers do labour in Punjab and Haryana."", 'tones': [{'score': 0.585991, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 15, 'text': 'Now Modi government wants the farmers of Punjab and Haryana also to become migrants labourers.', 'tones': [{'score': 0.590029, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 16, 'text': 'GOI does procurement of only 2 items on MSP (wheat and rice).', 'tones': [{'score': 0.519329, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 17, 'text': 'Though it issues MSP list for 20 odd items.', 'tones': []}, {'sentence_id': 18, 'text': 'Slowly GOI, will announce MSP, but will no longer be duty bound to procure wheat and rice.', 'tones': []}, {'sentence_id': 19, 'text': 'So Govt Godowns, Silos and FCI would also go for a six.', 'tones': [{'score': 0.626061, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 20, 'text': 'The most nonsensical clause is that the farmer can sell their crop anywhere.', 'tones': [{'score': 0.521474, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.867767, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 21, 'text': 'So a Punjabi farmer will hire cargo aircrafts and take his wheat and rice to Tamilnadu/Gujarat??? Obviously not!', 'tones': []}, {'sentence_id': 22, 'text': 'This clause is only for the benefit of big corporates, who will manipulate the markets/prices and sell wherever they would want.', 'tones': [{'score': 0.602352, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 23, 'text': '3. The next ordinance: *Contract Farming* Big Sharks/corporates will take land on contract (which will only safeguard the interests and profit motive of big corporates).', 'tones': []}, {'sentence_id': 24, 'text': 'The farmer will become Mazdoor on his own land.', 'tones': [{'score': 0.564478, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 25, 'text': 'Produce will be packaged attractively and will be sold at high prizes.', 'tones': [{'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 26, 'text': 'All humans who depend on farm produce will be the suckers.', 'tones': [{'score': 0.862286, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 27, 'text': 'The rural economy of the country will totally collapse.', 'tones': [{'score': 0.874372, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 28, 'text': 'Remember how Jio internet was free for 1 year?', 'tones': [{'score': 0.548652, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.724236, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 29, 'text': 'When you got hooked, it was Rs 199 and now Rs 350.', 'tones': []}, {'sentence_id': 30, 'text': 'Zor ka jhatka dheere se lage!', 'tones': []}, {'sentence_id': 31, 'text': 'The same will happen to farmers.', 'tones': [{'score': 0.679436, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 32, 'text': 'USA has mere 2% farmers and Europe has just 1%.', 'tones': [{'score': 0.623312, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.822231, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 33, 'text': 'On the other hand India has 76%!', 'tones': [{'score': 0.596721, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.994057, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 34, 'text': 'Corporates require labour.', 'tones': [{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 35, 'text': 'From where can they get that much labour?', 'tones': []}, {'sentence_id': 36, 'text': 'From ‘defarming’ that 76% to more manageable percentage.', 'tones': []}, {'sentence_id': 37, 'text': 'So Modi ji is doing the needful!', 'tones': []}, {'sentence_id': 38, 'text': 'These Ordinances were brought in on June 05 2020 under Article 123 of Indian Constitution.', 'tones': [{'score': 0.545284, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 39, 'text': 'Which says emergency legislation can be passed as Ordinance when Parliament is not in session.', 'tones': []}, {'sentence_id': 40, 'text': 'Can some wise guy tell what was the emergency during Covid period???', 'tones': [{'score': 0.75152, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 41, 'text': 'And that too when lndia’s GDP has fallen by -30%!', 'tones': []}, {'sentence_id': 42, 'text': 'But the Indian voters have been kept distracted by Rhea, Kangana and now Deepika!', 'tones': [{'score': 0.585617, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 43, 'text': 'Modi ko to bass apne political financiers (Ambanis aur Adani) ko khush karna hai, desh ka kissan jaye bhad mei’n!', 'tones': []}, {'sentence_id': 44, 'text': '#AntiFarmerLaws', 'tones': []}]}"
47,"In a democracy there may be times when we are powerless to prevent injustice, but there must never be a time when we fail to protest. Let us show our solidarity with protesting farmers in India against draconian law passed by Indian government, #FarmersProtest","{'document_tone': {'tones': [{'score': 0.523793, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.68097, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'In a democracy there may be times when we are powerless to prevent injustice, but there must never be a time when we fail to protest.', 'tones': []}, {'sentence_id': 1, 'text': 'Let us show our solidarity with protesting farmers in India against draconian law passed by Indian government, #FarmersProtest', 'tones': []}]}"
48,and sonia gandhi should entertain these protesters with bar dance .. definitely many will attend and will become success too,"{'document_tone': {'tones': [{'score': 0.815143, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.638987, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
49,This will die down in 10-15 days   What after that   Pressure needs to be on central Govt offices,"{'document_tone': {'tones': [{'score': 0.822136, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
50,,{'document_tone': {'tones': []}}
51,,{'document_tone': {'tones': []}}
52,Khalistan is the only way,"{'document_tone': {'tones': [{'score': 0.515402, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.774376, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
54,,{'document_tone': {'tones': []}}
55,,{'document_tone': {'tones': []}}
56,,{'document_tone': {'tones': []}}
57,,{'document_tone': {'tones': []}}
58,,{'document_tone': {'tones': []}}
59,NDTV KE JIHADI AUR NAXALI ITNA GYAN KAHA SE LATE HAI,{'document_tone': {'tones': []}}
60,NDTV best news channel... Please help us please show real truth ...  https://m.facebook.com/story.php?story_fbid=135568001611323&id=100054743719905,"{'document_tone': {'tones': [{'score': 0.825035, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
61,Job Opportunities On :- www.kamkeetalaash.com   Kam Kee Talaash,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Job Opportunities On :- www.kamkeetalaash.com', 'tones': []}, {'sentence_id': 1, 'text': 'Kam Kee Talaash', 'tones': []}]}"
62,http://www.facebook.com/story.php?story_fbid=672997673638955&id=313739616231431&scmts=scwspsdd&extid=7m0HlVY5WHAQehnH,{'document_tone': {'tones': []}}
63,https://youtu.be/oZBEdoVEEu0,{'document_tone': {'tones': []}}
64,We support the farmers ??,"{'document_tone': {'tones': [{'score': 0.567173, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
