id,message,tone
12,I think govt. has planted some rioters.it is their old trick everyone knows,"{'document_tone': {'tones': [{'score': 0.698921, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.931994, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.952443, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'I think govt.', 'tones': [{'score': 0.790432, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'has planted some rioters.it is their old trick everyone knows', 'tones': [{'score': 0.653099, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.786991, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]}"
13,"More than 70 farmers died isn't responsible of Mudi Govt..!!!!!..  they can passed the bill forcefully, hit tear gas beat millions of people..  Remember Every action has an equal and opposite reaction..??...","{'document_tone': {'tones': [{'score': 0.816038, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.693264, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
14,"Irony of the Nation is that :  Two Gujjus are selling the nation and Two Gujjus are buying it.  I want to add, that neither the seller is the owner of the nation nor is the buyer using his own money !  And there are many who are standing and clapping this Indian Rope Trick. Makes us sick.  A democratically elected government is a trustee of the assets of the nation.   When the government sells its family silverware,  it essentially violates the trust. Our Trustees Seem to be hypnotised by  Capitalists .  How could you effort to allow such trustees run the nation ?","{'document_tone': {'tones': [{'score': 0.584268, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.631794, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.52002, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Irony of the Nation is that :  Two Gujjus are selling the nation and Two Gujjus are buying it.', 'tones': [{'score': 0.520909, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'I want to add, that neither the seller is the owner of the nation nor is the buyer using his own money !', 'tones': [{'score': 0.653099, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 2, 'text': 'And there are many who are standing and clapping this Indian Rope Trick.', 'tones': [{'score': 0.552441, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 3, 'text': 'Makes us sick.', 'tones': []}, {'sentence_id': 4, 'text': 'A democratically elected government is a trustee of the assets of the nation.', 'tones': []}, {'sentence_id': 5, 'text': 'When the government sells its family silverware,  it essentially violates the trust.', 'tones': []}, {'sentence_id': 6, 'text': 'Our Trustees Seem to be hypnotised by  Capitalists .', 'tones': [{'score': 0.768895, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.88939, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 7, 'text': 'How could you effort to allow such trustees run the nation ?', 'tones': [{'score': 0.786991, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.653099, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]}"
15,"Amongst all these chaos, its the two Gujju businessman watching the showing merely eating popcorn and pakodas....  This is exactly what they wanted...","{'document_tone': {'tones': [{'score': 0.955886, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Amongst all these chaos, its the two Gujju businessman watching the showing merely eating popcorn and pakodas....', 'tones': []}, {'sentence_id': 1, 'text': 'This is exactly what they wanted...', 'tones': [{'score': 0.942582, 'tone_id': 'confident', 'tone_name': 'Confident'}]}]}"
16,Most peaceful my foot  Fake farmers now in open  No need for such violence at all never,"{'document_tone': {'tones': [{'score': 0.686511, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
17,Why NDTV lying it was absolutely violence,"{'document_tone': {'tones': [{'score': 0.53333, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.967339, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
18,National distortion TV,"{'document_tone': {'tones': [{'score': 0.58656, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
19,Lo aagaye white wash leke... Yahi log hain jo Bhrhan wani ko headmaster ke beta bulate the...,{'document_tone': {'tones': []}}
20,Is it really ndtv. Oh shame on u,"{'document_tone': {'tones': [{'score': 0.677668, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Is it really ndtv.', 'tones': [{'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'Oh shame on u', 'tones': [{'score': 0.676142, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]}"
21,? ??? ???? ??????? ????? ?? ????? ???? !,{'document_tone': {'tones': []}}
22,Its a government failure,"{'document_tone': {'tones': [{'score': 0.587755, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
23,So many freedom movements in India these days,"{'document_tone': {'tones': [{'score': 0.583441, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
24,Ndtv reporting from front where all is ok and behind police were thrown into ditch..,"{'document_tone': {'tones': [{'score': 0.727798, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
25,Aa Gaya asli godi media.,{'document_tone': {'tones': []}}
26,No govt conspiracy can misguided this agitation of farmers....Kisan ekta jindabad,"{'document_tone': {'tones': [{'score': 0.575301, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
29,They are peacefull people only police doing nonsense   We know farmer from punjab they don't do any damage but if police stop nonsense with them just leave them alon just walk them .,"{'document_tone': {'tones': [{'score': 0.649366, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.595347, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.798791, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
30,PM is not political statement . PM is irresponsible in handling protesting. Farm law is make  without consent of famers.,"{'document_tone': {'tones': [{'score': 0.697249, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.715468, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.838624, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'PM is not political statement .', 'tones': [{'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'PM is irresponsible in handling protesting.', 'tones': [{'score': 0.74819, 'tone_id': 'anger', 'tone_name': 'Anger'}]}, {'sentence_id': 2, 'text': 'Farm law is make  without consent of famers.', 'tones': [{'score': 0.704642, 'tone_id': 'confident', 'tone_name': 'Confident'}]}]}"
31,Ndtv is hyperventilating and trying hard to damage control ?? damage is already done...,"{'document_tone': {'tones': [{'score': 0.675073, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
32,??? ?????  ?????? ?????? ??????? ???? ?? ??????? ?? ???? ?????? ?? ??????? ??? ?? ??? ???! ?????? ??????,{'document_tone': {'tones': []}}
33,"bose d k Nehru dynasty tv aka slave of 10 janpath, say it loud and clear that "" hooligans, thugs, fringe, rowdies, bigots, scum, morons have breached agreed route and time, and attacked police and media with RODS, STICKS, SWORDS, ramped TRACTORS ON, TO POLICE, destroyed PROPERTIES DISRESPECTED NATIONAL FLAG......these fellows call themselves farmers? these fellows call it peaceful protest ?....enough of too much TOLERANCE from government, common citizens, and 98% of farmers of India outside Punjab. time to flush these bullies out and no more tolerating this s****","{'document_tone': {'tones': [{'score': 0.534132, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.624531, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'bose d k Nehru dynasty tv aka slave of 10 janpath, say it loud and clear that "" hooligans, thugs, fringe, rowdies, bigots, scum, morons have breached agreed route and time, and attacked police and media with RODS, STICKS, SWORDS, ramped TRACTORS ON, TO POLICE, destroyed PROPERTIES DISRESPECTED NATIONAL FLAG......these fellows call themselves farmers?', 'tones': [{'score': 0.552673, 'tone_id': 'anger', 'tone_name': 'Anger'}]}, {'sentence_id': 1, 'text': 'these fellows call it peaceful protest ?....enough of too much TOLERANCE from government, common citizens, and 98% of farmers of India outside Punjab.', 'tones': []}, {'sentence_id': 2, 'text': 'time to flush these bullies out and no more tolerating this s****', 'tones': []}]}"
34,Bhosdike apna chutiyapa band karo lodo fake news ki factory,"{'document_tone': {'tones': [{'score': 0.585961, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.849827, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
35,They were not in pain when the Red Fort was given to Dalmia and are now in pain,"{'document_tone': {'tones': [{'score': 0.786568, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
37,In fact Sunny deols political manager ex DEEP SIDHHU who is also a mafiya criminal misled 20 tractors off the original route and desecrated the sikh flag in order to dismantle the movement . But he who has photoshoot with Modi is caught pants down on camera BJP WILL BE HISTORY AFTER THIS..,"{'document_tone': {'tones': [{'score': 0.807733, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'In fact Sunny deols political manager ex DEEP SIDHHU who is also a mafiya criminal misled 20 tractors off the original route and desecrated the sikh flag in order to dismantle the movement .', 'tones': [{'score': 0.792696, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'But he who has photoshoot with Modi is caught pants down on camera BJP WILL BE HISTORY AFTER THIS..', 'tones': []}]}"
41,"This violence was not required.  Especially that flag episode on Lal Quila.  By doing so we have given bjp and godi media open door to point fingers at us.   They giving our farmers names like Dangaai and khalistaani etc.  Bhakts are trolling everywhere like cockroaches and insects on social media and blaming our farmers now.  SAME bhakts who were celebrating when JNU viloence occured.  Same bhakts who were supporting Delhi riots that occured after BJP lost elections against Kejrival and 53 people were killed in Delhi riots.  That time these cockroaches were silent but today when farmers frustration turned violent, bhakts are out now  and inciting everyone aginst our farmers and misleading everyone.  This violence has given a golden chance to these snakes to spread their venom all over now  Violence is Not the solution in a democratic country of ours. Peaceful protests in non violent manner can be done and won rights.  There was no need to push to this extent.. This looks like a set up to spoil the peaceful march by farmers ...typical and expected...  Modi and Amit  Shah you have to pay for our tears and innocents lives... karma will hit you very soon??","{'document_tone': {'tones': [{'score': 0.551167, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.522125, 'tone_id': 'anger', 'tone_name': 'Anger'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'This violence was not required.', 'tones': [{'score': 0.507382, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'Especially that flag episode on Lal Quila.', 'tones': []}, {'sentence_id': 2, 'text': 'By doing so we have given bjp and godi media open door to point fingers at us.', 'tones': []}, {'sentence_id': 3, 'text': 'They giving our farmers names like Dangaai and khalistaani etc.  Bhakts are trolling everywhere like cockroaches and insects on social media and blaming our farmers now.', 'tones': []}, {'sentence_id': 4, 'text': 'SAME bhakts who were celebrating when JNU viloence occured.', 'tones': [{'score': 0.625436, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 5, 'text': 'Same bhakts who were supporting Delhi riots that occured after BJP lost elections against Kejrival and 53 people were killed in Delhi riots.', 'tones': [{'score': 0.513259, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 6, 'text': 'That time these cockroaches were silent but today when farmers frustration turned violent, bhakts are out now  and inciting everyone aginst our farmers and misleading everyone.', 'tones': [{'score': 0.598729, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 7, 'text': 'This violence has given a golden chance to these snakes to spread their venom all over now  Violence is Not the solution in a democratic country of ours.', 'tones': []}, {'sentence_id': 8, 'text': 'Peaceful protests in non violent manner can be done and won rights.', 'tones': [{'score': 0.612824, 'tone_id': 'anger', 'tone_name': 'Anger'}]}, {'sentence_id': 9, 'text': 'There was no need to push to this extent..', 'tones': []}, {'sentence_id': 10, 'text': 'This looks like a set up to spoil the peaceful march by farmers ...typical and expected...  Modi and Amit  Shah you have to pay for our tears and innocents lives... karma will hit you very soon??', 'tones': [{'score': 0.615741, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]}"
46,Why Modi media is not showing this video?,{'document_tone': {'tones': []}}
52,If you don't allow them you are undemocratic.  If they go violent your intelligence failed.   If you don't control them you are useless.  If you control them you are barbaric. #FarmersProtest #FarmersProstests,"{'document_tone': {'tones': [{'score': 0.661177, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.9449, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': ""If you don't allow them you are undemocratic."", 'tones': [{'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'If they go violent your intelligence failed.', 'tones': [{'score': 0.574188, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 2, 'text': ""If you don't control them you are useless."", 'tones': [{'score': 0.836113, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 3, 'text': 'If you control them you are barbaric.', 'tones': [{'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 4, 'text': '#FarmersProtest #FarmersProstests', 'tones': []}]}"
56,NDTV appoint all Harvard returns reporters at farmers rally.,"{'document_tone': {'tones': [{'score': 0.874372, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
63,????,{'document_tone': {'tones': []}}
64,i feel insecure n i want them behind bars,"{'document_tone': {'tones': [{'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
67,80% peaceful protest Sings is king,{'document_tone': {'tones': []}}
68,Helo,{'document_tone': {'tones': []}}
69,Shame on you NDTV,"{'document_tone': {'tones': [{'score': 0.591744, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
75,Lol!!!,"{'document_tone': {'tones': [{'score': 1.0, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
76,U NDTV are greatly responsible for all this ,"{'document_tone': {'tones': [{'score': 0.955584, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
77,Support Farmers .....??????,{'document_tone': {'tones': []}}
78,Why Modi media is not showing this video?,{'document_tone': {'tones': []}}
79,Show to the world modi criminal,{'document_tone': {'tones': []}}
80,https://m.facebook.com/story.php?story_fbid=274625490744714&id=109970647210200,{'document_tone': {'tones': []}}
83,This called dual narrative,{'document_tone': {'tones': []}}
84,Geet Kataria  Rushil Saklani aaj bhi mostly peaceful hogyi protest NDTV ke liye ??  So sed  Goli se mar diya tha inke according ek farmer ??,{'document_tone': {'tones': []}}
85,Khalistanis ka Pichwada donee walla RANDITV...,{'document_tone': {'tones': []}}
86,How could you call it Peaceful protest????? Ndtv todi to sharam karo aaj,"{'document_tone': {'tones': [{'score': 0.716301, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
92,Fake farmers ??,"{'document_tone': {'tones': [{'score': 0.780591, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
